Vertices,Edges,Elapsed Time,Key Comparisons
100,200,0.000010,200
100,2400,0.000260,6498
100,4900,0.000450,16813
100,7400,0.000580,28319
100,9900,0.000780,39715
200,400,0.000015,400
200,9800,0.001540,33979
200,19800,0.002500,84270
200,29800,0.003180,139322
200,39800,0.003950,194106
300,600,0.000017,600
300,22200,0.004453,86888
300,44700,0.006687,211636
300,67200,0.007867,335449
300,89700,0.008510,457642
400,800,0.000025,800
400,39600,0.009110,167395
400,79600,0.013365,392782
400,119600,0.014870,609065
400,159600,0.015740,822147
500,1000,0.000032,1000
500,62000,0.015916,279095
500,124500,0.021462,627575
500,187000,0.022912,965427
500,249500,0.023832,1283966
600,1200,0.000035,1200
600,89400,0.025122,424392
600,179400,0.031788,922949
600,269400,0.034010,1394522
600,359400,0.034683,1851841
700,1400,0.000043,1400
700,121800,0.036360,593714
700,244300,0.043396,1262037
700,366800,0.046511,1894463
700,489300,0.050027,2524023
800,1600,0.000050,1600
800,159200,0.047726,784293
800,319200,0.057686,1637936
800,479200,0.061640,2481293
800,639200,0.063816,3294650
900,1800,0.000056,1800
900,201600,0.064117,1009115
900,404100,0.071995,2087849
900,606600,0.079626,3147651
900,809100,0.080464,4172388
1000,2000,0.000061,2000
1000,249000,0.078780,1253368
1000,499000,0.091854,2589164
