Threshold Size,Key Comparisons,Elapsed Time
1,183832799,3.343000
2,183832634,3.153000
3,183954383,3.082000
4,184840593,2.926000
5,184840593,2.880000
6,184840593,2.907000
7,184840593,2.909000
8,186884550,2.855000
9,190155166,2.803000
10,190155166,2.784000
11,190155166,2.827000
12,190155166,2.782000
13,190155166,2.798000
14,190155166,2.804000
15,190155166,2.779000
16,190155166,2.770000
17,190155166,2.813000
18,204732284,2.756000
19,206048428,2.684000
20,206048428,2.752000
21,206048428,2.724000
22,206048428,2.746000
23,206048428,2.757000
24,206048428,2.828000
25,206048428,2.749000
26,206048428,2.752000
27,206048428,2.738000
28,206048428,2.741000
29,206048428,2.729000
30,206048428,2.739000
31,206048428,2.725000
32,206048428,2.693000
33,206048428,2.743000
34,206048428,2.740000
35,206048428,2.741000
36,206048428,2.748000
37,238976684,2.886000
38,244981553,2.920000
39,244981553,2.948000
40,244981553,2.913000
41,244981553,2.952000
42,244981553,2.929000
43,244981553,2.939000
44,244981553,2.922000
45,244981553,2.934000
46,244981553,2.960000
47,244981553,2.946000
48,244981553,2.995000
49,244981553,2.960000
50,244981553,2.950000
51,244981553,2.957000
52,244981553,2.940000
53,244981553,2.944000
54,244981553,2.931000
55,244981553,2.978000
56,244981553,2.940000
57,244981553,2.880000
58,244981553,2.924000
59,244981553,2.972000
60,244981553,2.936000
61,244981553,2.938000
62,244981553,2.953000
63,244981553,2.932000
64,244981553,2.915000
65,244981553,2.943000
66,244981553,2.939000
67,244981553,2.950000
68,244981553,2.955000
69,244981553,2.936000
70,244981553,2.939000
71,244981553,2.939000
72,244981553,2.939000
73,244981553,2.930000
74,244981553,2.943000
75,305219395,3.360000
76,331008435,3.484000
77,331008435,3.458000
78,331008435,3.460000
79,331008435,3.430000
80,331008435,3.460000
81,331008435,3.422000
82,331008435,3.430000
83,331008435,3.444000
84,331008435,3.481000
85,331008435,3.455000
86,331008435,3.453000
87,331008435,3.455000
88,331008435,3.485000
89,331008435,3.485000
90,331008435,3.474000
91,331008435,3.488000
92,331008435,3.460000
93,331008435,3.485000
94,331008435,3.465000
95,331008435,3.453000
96,331008435,3.468000
97,331008435,3.490000
98,331008435,3.477000
99,331008435,3.453000
100,331008435,3.474000
