Array Size,Threshold Size,Key Comparisons,Execution Time
1000,1,8329,0.002000
1000,2,8353,0.001000
1000,4,8359,0.001000
1000,8,8785,0.000000
1000,16,9860,0.000000
1000,32,12970,0.000000
1000,64,20112,0.001000
1000,128,35331,0.001000
1000,256,65003,0.001000
1000,512,126544,0.001000
10000,1,116711,0.007000
10000,2,116765,0.004000
10000,4,117769,0.003000
10000,8,118801,0.003000
10000,16,123199,0.003000
10000,32,139526,0.002000
10000,64,179480,0.003000
10000,128,266780,0.003000
10000,256,457568,0.003000
10000,512,829378,0.008000
100000,1,1456481,0.042000
100000,2,1456682,0.033000
100000,4,1457334,0.029000
100000,8,1478428,0.029000
100000,16,1560000,0.042000
100000,32,1782734,0.027000
100000,64,2303286,0.030000
100000,128,3428413,0.038000
100000,256,5778475,0.073000
100000,512,10560587,0.107000
1000000,1,16589653,0.333000
1000000,2,16589940,0.344000
1000000,4,16642389,0.300000
1000000,8,16989039,0.274000
1000000,16,18136495,0.286000
1000000,32,21098483,0.271000
1000000,64,27826901,0.316000
1000000,128,42118145,0.414000
1000000,256,71670404,0.619000
1000000,512,131667891,1.078000
10000000,1,183835326,3.660000
10000000,2,183833222,3.483000
10000000,4,184838626,3.223000
10000000,8,186889083,3.125000
10000000,16,190150429,3.038000
10000000,32,206077646,3.069000
10000000,64,244986857,3.294000
10000000,128,331046681,3.697000
10000000,256,512064615,5.067000
10000000,512,883839481,7.774000
